Time,num_cases
124.75,622633
125,622633
125.25,622633
125.5,622634
125.75,622634
126,622634
126.25,622634
126.5,622634
126.75,622634
127,622634
127.25,622634
127.5,622634
127.75,622634
128,622634
128.25,622634
128.5,622634
128.75,622634
129,622634
129.25,622634
129.5,622634
129.75,622634
130,622635
130.25,622635
130.5,622635
130.75,622635
131,622635
131.25,622635
131.5,622635
131.75,622635
132,622635
132.25,622635
132.5,622635
132.75,622635
133,622635
133.25,622635
133.5,622635
133.75,622635
134,622635
134.25,622635
134.5,622635
134.75,622635
135,622635
135.25,622635
135.5,622635
135.75,622635
136,622635
136.25,622635
136.5,622635
136.75,622635
137,622635
137.25,622635
137.5,622635
137.75,622635
138,622635
138.25,622635
138.5,622635
138.75,622635
139,622635
139.25,622635
139.5,622635
139.75,622635
140,622635
140.25,622635
140.5,622635
140.75,622635
141,622635
141.25,622635
141.5,622635
141.75,622635
142,622635
142.25,622635
142.5,622635
142.75,622635
143,622635
143.25,622635
143.5,622635
143.75,622635
144,622635
144.25,622635
144.5,622635
144.75,622635
145,622635
145.25,622635
145.5,622635
145.75,622635
146,622635
146.25,622635
146.5,622635
146.75,622635
147,622635
147.25,622635
147.5,622635
147.75,622635
148,622635
148.25,622635
148.5,622635
148.75,622635
149,622635
149.25,622635
149.5,622635
149.75,622635
150,622635
150.25,622635
150.5,622635
150.75,622635
151,622635
151.25,622635
151.5,622635
151.75,622635
152,622635
152.25,622635
152.5,622635
152.75,622635
153,622635
153.25,622635
153.5,622635
153.75,622635
154,622635
154.25,622635
154.5,622635
154.75,622635
155,622635
155.25,622635
155.5,622635
155.75,622635
156,622635
156.25,622635
156.5,622635
156.75,622635
157,622635
157.25,622635
157.5,622635
157.75,622635
158,622635
158.25,622635
158.5,622635
158.75,622635
159,622635
159.25,622635
159.5,622635
159.75,622635
160,622635
160.25,622635
160.5,622635
160.75,622635
161,622635
161.25,622635
161.5,622635
161.75,622635
162,622635
162.25,622635
162.5,622635
162.75,622635
163,622635
163.25,622635
