wardNo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
37,0.0,0.00131291,0.011582786,0.001283735,0.001546317,0.000846098,0.01079504,0.044259664,0.008869438,0.009744712,0.021473377,0.002800875,0.000379285,0.001371262,0.000262582,0.001225383,0.001721371,0.001137856,0.001750547,0.006943837,0.001225383,0.005747629,0.003851204,0.000991977,0.00131291,0.000671043,0.026112327,0.020043764,0.027629468,0.011816193,0.012720642,0.027162655,0.013508388,0.027308534,0.004347192,0.149292487,0.165485047,0.032326769,0.005893508,0.001283735,0.046097739,0.072706054,0.020743982,0.011874544,0.034310722,0.011203501,0.00837345,0.008344274,0.014500365,0.002888403,0.021239971,0.079679066
38,1.86449e-05,0.001044114,0.006078234,0.00083902,0.002088228,0.001025469,0.003150986,0.002889958,0.005518887,0.006525711,0.001771264,0.002032293,0.000261028,0.001286497,7.45796e-05,0.001025469,0.001528881,0.001249208,0.001230563,0.005407018,0.001211918,0.002945893,0.000950889,0.000727151,0.000540702,0.000428832,0.019744938,0.040795018,0.049427602,0.013759928,0.012827684,0.124305478,0.037718611,0.025543499,0.010459783,0.030577619,0.010329269,0.30437782,0.028899579,0.002703509,0.008315621,0.049968304,0.018104188,0.000466122,0.021777231,0.016034605,0.009900436,0.015382034,0.079949286,0.007737629,0.003449305,0.005593467
39,0.0,0.000770289,0.008390646,0.000577717,0.001210454,0.000742779,0.002283356,0.002118294,0.009903714,0.006795048,0.001072902,0.002145805,0.000137552,0.001623109,8.25309e-05,0.000522696,0.001072902,0.001265475,0.001100413,0.005777166,0.000797799,0.002310867,0.000770289,0.000550206,0.000577717,0.000577717,0.019559835,0.010563961,0.01127923,0.013232462,0.012572215,0.07568088,0.041100413,0.016066025,0.009738652,0.019367263,0.007537827,0.087235213,0.257001376,0.003218707,0.005061898,0.012324622,0.019202201,0.000770289,0.0130674,0.034140303,0.046409904,0.016341128,0.124016506,0.084099037,0.00352132,0.003713893
40,0.0,0.003227542,0.012506724,0.000672405,0.000672405,0.002824099,0.000806885,0.001613771,0.001748252,0.000672405,0.000941366,0.001210328,0.000403443,0.000537924,0.0,0.000672405,0.000941366,0.001613771,0.002555137,0.006051641,0.001075847,0.005782679,0.000537924,0.000134481,0.000941366,0.000806885,0.035368478,0.007530931,0.00591716,0.014120495,0.070199032,0.076788596,0.067105971,0.012237762,0.286982249,0.017482517,0.006858526,0.023399677,0.007665412,0.146584185,0.004303389,0.005379236,0.021785906,0.001748252,0.005782679,0.004303389,0.007127488,0.091581495,0.017616998,0.003630984,0.00591716,0.003630984
41,0.0,0.004423889,0.021181044,0.004792546,0.004055232,0.001742744,0.002077887,0.005797976,0.002547088,0.002949259,0.00512769,0.004759032,0.00170923,0.002580602,0.000536229,0.002111402,0.004088746,0.001407601,0.002144916,0.011931095,0.00194383,0.017058784,0.012165695,0.002513573,0.002077887,0.001240029,0.020477244,0.01484684,0.029056907,0.018835043,0.010355922,0.018633957,0.00777532,0.098263959,0.003720088,0.130806354,0.050237952,0.02285676,0.003519003,0.001508144,0.254842818,0.013506267,0.038910115,0.0189691,0.006367719,0.003485488,0.004256317,0.00583149,0.010020779,0.000804343,0.060292245,0.028855821
42,0.0,0.000465292,0.005060052,0.000901503,0.000988746,0.000290808,0.018931573,0.01573269,0.013348068,0.026201762,0.00462384,0.000988746,0.000145404,0.000872423,2.90808e-05,0.00037805,0.000436211,0.000610696,0.000959665,0.002530026,0.000436211,0.00191933,0.00191933,0.000436211,0.00078518,0.000174485,0.01765202,0.016837758,0.025009451,0.008317097,0.011574141,0.040538576,0.018379039,0.011341495,0.004943729,0.079041498,0.060022683,0.115886818,0.01113793,0.000930584,0.011370576,0.232471574,0.01384244,0.001832088,0.114461861,0.033064821,0.015500044,0.010701719,0.026027278,0.003547852,0.006106959,0.010294588
43,3.10559e-05,0.01742236,0.082453416,0.004689441,0.020279503,0.005062112,0.000900621,0.002360248,0.002220497,0.001521739,0.002282609,0.006956522,0.00173913,0.004223602,0.000947205,0.008338509,0.011552795,0.009953416,0.007686335,0.083198758,0.008198758,0.020745342,0.003493789,0.00673913,0.007841615,0.004534161,0.042080745,0.01128882,0.009689441,0.07318323,0.021661491,0.028416149,0.01318323,0.06871118,0.009767081,0.015263975,0.007981366,0.016568323,0.004145963,0.002562112,0.012251553,0.00492236,0.281599379,0.00173913,0.002453416,0.002919255,0.001987578,0.01015528,0.011723602,0.001428571,0.011723602,0.007220497
44,0.0,0.003875969,0.011074197,0.00110742,0.002214839,0.00055371,0.00166113,0.004429679,0.004429679,0.002214839,0.012735327,0.00166113,0.0,0.002214839,0.0,0.002768549,0.0,0.0,0.003322259,0.004429679,0.00166113,0.005537099,0.002768549,0.002214839,0.00166113,0.00055371,0.018272425,0.011074197,0.019933555,0.007198228,0.008305648,0.018272425,0.013289037,0.021040975,0.002768549,0.305647841,0.123477298,0.018272425,0.006644518,0.00055371,0.100221484,0.016057586,0.007751938,0.142303433,0.007751938,0.00166113,0.004429679,0.006090808,0.008859358,0.00110742,0.018826135,0.03709856
45,0.0,0.000655831,0.005275164,0.000826918,0.000627317,0.000513259,0.015711434,0.009096094,0.022583405,0.04562304,0.003450242,0.001482749,0.000342173,0.000513259,0.000142572,0.000484745,0.001226119,0.000741374,0.001454234,0.003621329,0.000541774,0.00259481,0.001055033,0.000342173,0.000627317,0.000342173,0.01685201,0.013487311,0.016481323,0.007014542,0.012974052,0.042800114,0.019560878,0.014200171,0.005731394,0.049130311,0.03966353,0.076874822,0.02067294,0.001397206,0.009409752,0.135471913,0.016709438,0.000998004,0.207100086,0.076047904,0.029170231,0.007670374,0.040062732,0.006957514,0.004476761,0.009210151
46,0.0,0.000694517,0.005417231,0.000659791,0.000902872,0.000625065,0.006736813,0.004028197,0.043893461,0.033788242,0.00267389,0.001041775,0.000486162,0.000486162,0.000104178,0.000868146,0.000763968,0.000868146,0.000451436,0.003125326,0.000798694,0.001979373,0.000590339,0.000486162,0.000555613,0.000381984,0.017710178,0.008889815,0.010174671,0.009306525,0.014445949,0.053443067,0.028162656,0.012744383,0.005139424,0.031044901,0.017536549,0.068097371,0.042782234,0.002326631,0.009028718,0.047852207,0.015348821,0.000520888,0.087960551,0.193943814,0.089766295,0.010139945,0.089002327,0.014515401,0.003021148,0.004687988
47,0.0,0.000517749,0.003041776,0.000614827,0.000388312,0.000550108,0.003365369,0.00330065,0.060835518,0.012652493,0.001262013,0.000744264,3.23593e-05,0.000258875,6.47186e-05,0.00048539,0.000420671,0.000679546,0.001035498,0.001973918,0.000420671,0.001585607,0.000355952,0.000647186,0.000355952,0.0,0.017829984,0.006310067,0.005468725,0.005145132,0.012458337,0.04837718,0.022198492,0.007507362,0.00520985,0.021745462,0.010872731,0.04504417,0.069151862,0.003171213,0.004012555,0.024107692,0.010096107,0.000906061,0.024625441,0.080995373,0.354075656,0.010322622,0.042617222,0.065657056,0.002524027,0.003980196
48,0.0,0.001136299,0.008209761,0.000426112,0.001477189,0.000880632,0.00045452,0.001136299,0.001903301,0.002414636,0.000653372,0.001676041,0.000170445,0.001391966,8.52224e-05,0.001164707,0.000482927,0.001534004,0.000965854,0.00653372,0.000710187,0.001704449,0.00045452,0.000397705,0.001363559,0.000255667,0.048037043,0.00934606,0.005141753,0.014402591,0.089682404,0.074768479,0.1409579,0.008408613,0.11607295,0.017328561,0.005454236,0.029600591,0.01249929,0.021902165,0.002783933,0.00585194,0.015141185,0.001249929,0.002556673,0.004403159,0.002840748,0.304016817,0.021646497,0.002272598,0.003636157,0.002414636
49,2.66944e-05,0.00114786,0.00723419,0.00114786,0.002162249,0.000774138,0.002722832,0.003470276,0.012145965,0.012119271,0.001548277,0.002882998,0.000266944,0.001254638,0.000133472,0.00072075,0.002909693,0.000987694,0.001041083,0.007367662,0.00072075,0.003390192,0.001361416,0.000533889,0.00072075,0.000453805,0.022530098,0.012626465,0.015109047,0.013827714,0.014655241,0.097621526,0.047943194,0.017191212,0.011024799,0.021328849,0.008035023,0.148901524,0.092442807,0.003523665,0.005739302,0.018552628,0.021088599,0.000347028,0.029977844,0.046581778,0.021088599,0.015829796,0.217639679,0.019246683,0.00301647,0.00488508
50,0.0,0.001205503,0.004751099,0.000496383,0.000921855,0.00035456,0.002269182,0.001134591,0.019217132,0.007445752,0.000425472,0.00184371,0.000212736,0.00035456,0.000141824,0.000567295,0.00184371,0.000992767,0.000709119,0.002907389,0.000496383,0.002481917,0.00035456,0.001063679,0.001347327,7.09119e-05,0.013189618,0.005956602,0.006949369,0.013827826,0.01212594,0.053680329,0.025102822,0.011274996,0.006523897,0.020564459,0.007091193,0.057580485,0.171535952,0.003332861,0.003829244,0.014678769,0.016593391,0.000567295,0.014466033,0.03680329,0.130832506,0.01212594,0.069493689,0.231385619,0.001630974,0.005247483
51,0.0,0.00679601,0.032555081,0.005590266,0.006412364,0.001973035,0.001370163,0.005864299,0.002411487,0.002904746,0.011399759,0.0083854,0.002027842,0.007398882,0.001370163,0.004494136,0.005151814,0.003178779,0.00411049,0.023183163,0.003617231,0.032171435,0.031184917,0.002027842,0.003891264,0.002192261,0.024005261,0.008933465,0.010139209,0.026635975,0.01074208,0.022306259,0.01074208,0.101720925,0.003617231,0.064452483,0.064233257,0.018524608,0.002192261,0.001096131,0.115641785,0.010468048,0.063411159,0.013811246,0.003836457,0.003836457,0.003617231,0.005754686,0.008166173,0.001041324,0.125178121,0.064233257
52,0.0,0.002365701,0.015922987,0.002511283,0.00276605,0.001273839,0.004549425,0.02096375,0.003803319,0.008498326,0.032228126,0.006605765,0.000800699,0.002565876,0.000254768,0.000582326,0.002438492,0.001328432,0.002474887,0.007934197,0.001474014,0.01068205,0.016578105,0.000727908,0.001837968,0.000545931,0.024585092,0.013120542,0.00822536,0.016814675,0.011919493,0.02025404,0.009189838,0.038269763,0.003366574,0.063091425,0.06123526,0.022565148,0.002911632,0.000691513,0.026204688,0.013721066,0.030990683,0.004858786,0.005441112,0.003694133,0.003311981,0.004076285,0.007533848,0.001146455,0.036686563,0.414379822
