Time,num_recovered
126.75,92384
127,92384
127.25,92384
127.5,92384
127.75,92384
128,92384
128.25,92384
128.5,92384
128.75,92384
129,92384
129.25,92384
129.5,92384
129.75,92384
130,92384
130.25,92384
130.5,92384
130.75,92384
131,92384
131.25,92384
131.5,92384
131.75,92384
132,92384
132.25,92384
132.5,92384
132.75,92384
133,92384
133.25,92384
133.5,92384
133.75,92384
134,92384
134.25,92384
134.5,92384
134.75,92384
135,92384
135.25,92384
135.5,92384
135.75,92384
136,92384
136.25,92384
136.5,92384
136.75,92384
137,92384
137.25,92384
137.5,92384
137.75,92384
138,92384
138.25,92384
138.5,92384
138.75,92384
139,92384
139.25,92384
139.5,92384
139.75,92384
140,92384
140.25,92384
140.5,92384
140.75,92384
141,92384
141.25,92384
141.5,92384
141.75,92384
142,92384
142.25,92384
142.5,92384
142.75,92384
143,92384
143.25,92384
143.5,92384
143.75,92384
144,92384
144.25,92384
144.5,92384
144.75,92384
145,92384
145.25,92384
145.5,92384
145.75,92384
146,92384
146.25,92384
146.5,92384
146.75,92384
147,92384
147.25,92384
147.5,92384
147.75,92384
148,92384
148.25,92384
148.5,92384
148.75,92384
149,92384
149.25,92384
149.5,92384
149.75,92384
150,92384
150.25,92384
150.5,92384
150.75,92384
151,92384
151.25,92384
151.5,92384
151.75,92384
152,92384
152.25,92384
152.5,92384
152.75,92384
153,92384
153.25,92384
153.5,92384
153.75,92384
154,92384
154.25,92384
154.5,92384
154.75,92384
155,92384
155.25,92384
155.5,92384
155.75,92384
156,92384
156.25,92384
156.5,92384
156.75,92384
157,92384
157.25,92384
157.5,92384
157.75,92384
158,92384
158.25,92384
158.5,92384
158.75,92384
159,92384
159.25,92384
159.5,92384
159.75,92384
160,92384
160.25,92384
160.5,92384
160.75,92384
161,92384
161.25,92384
161.5,92384
161.75,92384
162,92384
162.25,92384
162.5,92384
162.75,92384
163,92384
163.25,92384
163.5,92384
163.75,92384
164,92384
164.25,92384
164.5,92384
164.75,92384
165,92384
165.25,92384
165.5,92384
165.75,92384
166,92384
166.25,92384
166.5,92384
166.75,92384
167,92384
167.25,92384
167.5,92384
167.75,92384
168,92384
168.25,92384
168.5,92384
168.75,92384
169,92384
169.25,92384
169.5,92384
169.75,92384
170,92384
170.25,92384
170.5,92384
170.75,92384
171,92384
171.25,92384
171.5,92384
171.75,92384
172,92384
172.25,92384
172.5,92384
172.75,92384
173,92384
173.25,92384
173.5,92384
173.75,92384
174,92384
174.25,92384
174.5,92384
174.75,92384
175,92384
175.25,92384
175.5,92384
175.75,92384
176,92384
176.25,92384
176.5,92384
176.75,92384
177,92384
177.25,92384
177.5,92384
177.75,92384
178,92384
178.25,92384
178.5,92384
178.75,92384
179,92384
179.25,92384
179.5,92384
179.75,92384
180,92384
180.25,92384
180.5,92384
180.75,92384
181,92384
181.25,92384
181.5,92384
181.75,92384
182,92384
182.25,92384
182.5,92384
182.75,92384
183,92384
183.25,92384
183.5,92384
183.75,92384
184,92384
184.25,92384
184.5,92384
184.75,92384
185,92384
185.25,92384
185.5,92384
185.75,92384
186,92384
186.25,92384
186.5,92384
186.75,92384
187,92384
187.25,92384
187.5,92384
187.75,92384
188,92384
188.25,92384
188.5,92384
188.75,92384
189,92384
189.25,92384
189.5,92384
189.75,92384
190,92384
190.25,92384
190.5,92384
190.75,92384
191,92384
191.25,92384
191.5,92384
191.75,92384
